class,percentile,threshold_high,threshold_low,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
broken_large,92,0.023024464026093483,0.044921875,100,9,2,3,0.5203622100622147,0.35168215735020836,0.41232445706360804,0.7051181102352951
broken_small,99,0.056588295847177505,0.20898438,75,9,2,3,0.4261501210619359,0.27076923076645365,0.4689165186417599,0.3905325443729211
contamination,90,0.01688593067228794,0.31835938,100,7,1,3,0.13568376068365715,0.07277936962744758,0.11057213930334506,0.17555292259049063
