min_area,kernel_size,iterations,F1,IoU,Precision,Recall
0,0,1,0.77477343633875,0.6323511579960805,0.8926737418676949,0.6843832020988394
0,0,2,0.77477343633875,0.6323511579960805,0.8926737418676949,0.6843832020988394
0,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
0,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
0,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
0,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
0,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
0,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
0,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
0,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
0,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
0,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
10,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
10,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
10,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
10,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
10,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
10,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
10,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
10,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
10,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
10,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
10,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
10,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
20,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
20,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
20,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
20,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
20,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
20,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
20,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
20,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
20,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
20,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
20,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
20,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
30,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
30,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
30,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
30,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
30,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
30,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
30,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
30,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
30,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
30,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
30,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
30,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
40,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
40,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
40,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
40,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
40,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
40,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
40,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
40,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
40,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
40,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
40,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
40,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
50,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
50,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
50,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
50,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
50,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
50,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
50,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
50,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
50,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
50,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
50,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
50,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
75,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
75,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
75,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
75,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
75,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
75,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
