distance_thresh,F1,IoU,Precision,Recall
3,0.8160256878049945,0.6892258382634502,0.9191188558262057,0.733727034119772
4,0.8379682179335712,0.7211233211224406,0.9119827053722792,0.7750656167968831
5,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
6,0.8736002145772992,0.7755685200609886,0.8931852461251979,0.8548556430434976
7,0.8839256388353912,0.7919952913469193,0.8849138497949692,0.882939632544773
8,0.8921890067496675,0.8053621169907087,0.8744801512276315,0.9106299212586475
10,0.8989241931442964,0.8164053624167048,0.8587476099416124,0.9430446194213346
