class,percentile,threshold_high,threshold_low,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
broken_large,97,0.44672155380249023,0.19726562,100,9,2,8,0.7149596894591131,0.5563714099818232,0.655999999999281,0.7855643044609113
broken_small,99,0.48455458879470825,0.15820312,100,0,1,3,0.4230307876832346,0.268255578091946,0.28986301369704187,0.7825443786866487
contamination,90,0.36654967069625854,0.24023438,0,5,2,10,0.2163830270023978,0.12131698132404391,0.14047492781795975,0.47077409162624256
