class,percentile,threshold_high,threshold_low,min_area,kernel_size,iterations,distance_thresh,F1,IoU,Precision,Recall
broken_large,95,0.38541078567504883,0.21679688,100,9,2,3,0.7155453557188576,0.5570810607480186,0.6627880957701243,0.7774278215212895
broken_small,99,0.6728532314300537,0.21289062,100,0,1,3,0.38310269482744685,0.23693693693586967,0.25410628019200915,0.7781065088642292
contamination,90,0.4029514789581299,0.26757812,0,9,2,8,0.20857426069708881,0.11642919721486769,0.13186755796943186,0.49861769352192215
